,Date,Timestamp,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,manta,taiko,op_bnb,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB
,29/09/2023,1695945600,63399.12620225668,,,,63399.12620225668,63399.12620225668,,,,,,,,,63399.12620225668,,,,,,,63436.29987398283,,,,,,,,,63436.29987398283,,,,,,
,30/09/2023,1696032000,57435.386257081955,,,,57435.386257081955,57435.386257081955,,,,,,,,,57435.386257081955,,,,,,,57435.386257081955,,,,,,,,,57435.386257081955,,,,,,
,01/10/2023,1696118400,56752.18573885193,,,,56752.18573885193,56752.18573885193,,,,,,,,,56752.18573885193,,,,,,,56757.804761523315,,,,,,,,,56757.804761523315,,,,,,
,02/10/2023,1696204800,55980.55517531429,,,,55980.55517531429,55980.55517531429,,,,,,,,,55980.55517531429,,,,,,,55992.76159734252,,,,,,,,,55992.76159734252,,,,,,
,03/10/2023,1696291200,55051.658140278414,,,,55051.658140278414,55051.658140278414,,,,,,,,,55051.658140278414,,,,,,,55051.658140278414,,,,,,,,,55051.658140278414,,,,,,
,04/10/2023,1696377600,55412.730688665106,,,,55412.730688665106,55412.730688665106,,,,,,,,,55412.730688665106,,,,,,,55357.37331534976,,,,,,,,,55357.37331534976,,,,,,
,05/10/2023,1696464000,55410.61558153829,,,,55410.61558153829,55410.61558153829,,,,,,,,,55410.61558153829,,,,,,,55410.61558153829,,,,,,,,,55410.61558153829,,,,,,
,06/10/2023,1696550400,55495.41131112408,,,,55495.41131112408,55495.41131112408,,,,,,,,,55495.41131112408,,,,,,,55495.41131112408,,,,,,,,,55495.41131112408,,,,,,
,07/10/2023,1696636800,54256.62531041942,,,,54256.62531041942,54256.62531041942,,,,,,,,,54256.62531041942,,,,,,,54256.62531041942,,,,,,,,,54256.62531041942,,,,,,
,08/10/2023,1696723200,54591.86912049271,,,,54591.86912049271,54591.86912049271,,,,,,,,,54591.86912049271,,,,,,,54537.33178870401,,,,,,,,,54537.33178870401,,,,,,
