,Date,Timestamp,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3
,,,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi
,,,op_bnb,bsc,Total,op_bnb,op_bnb,bsc,Total,Total,op_bnb,op_bnb,bsc,Total,Total
,,,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,WBNB,BNB,BNB,BNB,WBNB,WBNB,BNB,BNB,BNB,WBNB
,13/02/2024,1707782400,10403.6837,41570.70573699306,51974.389436993064,,10403.6837,41570.70573699306,51974.389436993064,,,31.651,126.4700509187498,158.1210509187498,
,14/02/2024,1707868800,10275.48083,41061.2343505405,51336.7151805405,,10275.48083,41061.2343505405,51336.7151805405,,,31.649,126.4706759187498,158.1196759187498,
,15/02/2024,1707955200,10565.22434,42204.347118114376,52769.57145811438,,10565.22434,42204.347118114376,52769.57145811438,,,31.658,126.4625509187498,158.1205509187498,
,16/02/2024,1708041600,10954.59288,45087.47585558943,56042.06873558943,,10954.59288,45087.47585558943,56042.06873558943,,,30.723,126.4513009187498,157.1743009187498,
,17/02/2024,1708128000,11050.76,45724.924893979114,56775.684893979116,11050.76,,45724.924893979114,45724.924893979114,11050.76,30.5,,126.4481759187498,126.4481759187498,30.5
,18/02/2024,1708214400,10741.285740000001,44578.64338890524,55319.92912890524,10741.285740000001,,44578.64338890524,44578.64338890524,10741.285740000001,30.451,,126.4463009187498,126.4463009187498,30.451
,19/02/2024,1708300800,10684.18218,44305.25084192993,54989.43302192993,10684.18218,,44305.25084192993,44305.25084192993,10684.18218,30.441,,126.4419259187498,126.4419259187498,30.441
,20/02/2024,1708387200,10767.89493,44711.951818388305,55479.84674838831,10767.89493,,44711.951818388305,44711.951818388305,10767.89493,30.441,,126.4406759187498,126.4406759187498,30.441
,21/02/2024,1708473600,10768.4544,44729.27348125774,55497.72788125774,10768.4544,,44729.27348125774,44729.27348125774,10768.4544,30.44,,126.4431759187498,126.4431759187498,30.44
,22/02/2024,1708560000,11529.7588,47892.88174274486,59422.64054274486,11529.7588,,47892.88174274486,47892.88174274486,11529.7588,30.44,,126.4431759187498,126.4431759187498,30.44
,23/02/2024,1708646400,11671.14795,48519.800064051866,60190.948014051864,11671.14795,,48519.800064051866,48519.800064051866,11671.14795,30.415,,126.4425509187498,126.4425509187498,30.415
,24/02/2024,1708732800,11406.86199,47323.24894911386,58730.11093911386,11406.86199,,47323.24894911386,47323.24894911386,11406.86199,30.411,,126.1650509187498,126.1650509187498,30.411
,25/02/2024,1708819200,11576.7666,48035.295748795616,59612.06234879562,11576.7666,,48035.295748795616,48035.295748795616,11576.7666,30.39,,126.1663009187498,126.1663009187498,30.39
,26/02/2024,1708905600,11738.21984,48810.251299445925,60548.47113944592,11738.21984,,48810.251299445925,48810.251299445925,11738.21984,30.391,,126.1638009187498,126.1638009187498,30.391
